Year,undergraduate,funds,per
2017,2753.61,847140.1,9503.3147
2016,2695.86,780069.97,9001.52515
2015,2625.32,722767.87,8579.70013
2014,2547.68,684349.42,8391.11946
2013,2468.06,634345.33,8015.55591
2012,2391.31,576551.84,7496.1373
2011,2308.53,521441.11,6998.71388
2010,2231.78,437041.99,6030.11449
2009,2144.67,365303.69,5222.14174
2008,2021.03,333313.95,5067.39504
2007,1884.91,279737.86,4558.50039
2006,1738.82,232836.74,4116.3723
2005,1561.83,199228.1,3931.59443
2004,1333.48,167922.56,3910.57232
2003,1108.54,139537.19,3943.55971
2002,903.37,120819.3,4201.6493
2001,719.06,108775.71,4717.36939
2000,556.07,98692.6,5560.07227
1999,408.6,88388.05,6851.72258
1998,340.87,82721.51,7597.82923
1997,317.74,76490.2,7493.86788
1996,302.34,67891.78,7009.17348
1995,283.62,57642.07,6033.18269
1994,272.83,45422.75,4996.56572
1993,253.73,34274.92,4165.00344